1,0,4,1,4
2,2,4,3,1
3,1,3,2,3
4,4,2,4,3
5,2,2,0,4
6,2,4,4,1
7,1,3,1,3
8,1,0,1,4
9,1,4,1,0
10,0,4,2,1
11,4,3,3,3
12,0,2,0,3
13,4,0,1,1
14,0,1,4,4
15,1,1,4,2
16,1,0,1,1
17,2,3,3,0
18,2,2,2,1
19,2,2,1,2
20,2,4,4,3
21,2,2,0,4
22,1,4,2,0
23,4,1,4,1
24,3,0,4,2
25,4,3,1,1
26,4,3,2,4
27,2,1,3,0
28,2,3,2,3
29,4,2,1,2
30,1,4,3,2
31,4,3,1,1
32,4,4,1,0
33,4,3,0,3
34,4,2,4,1
35,2,4,0,0
36,2,2,0,0
37,4,1,4,1
38,3,0,3,3
39,3,2,4,1
40,4,2,3,1
41,1,1,4,4
42,1,3,1,1
43,2,3,2,0
44,4,1,3,2
45,2,2,3,0
46,3,3,1,4
47,3,0,3,3
48,2,0,0,2
49,2,3,3,3
50,3,0,1,2
51,4,1,1,4
52,0,1,2,3
53,2,3,0,3
54,0,2,4,1
55,2,1,1,1
56,3,0,1,0
57,3,0,0,1
58,4,3,2,3
59,1,3,3,0
60,2,1,2,4
61,3,0,0,1
62,3,0,2,0
63,0,2,3,2
64,0,2,2,4
65,1,0,1,4
66,3,3,1,0
67,3,0,3,0
68,3,4,0,0
69,1,2,1,1
70,3,2,3,1
71,4,1,1,3
72,4,3,1,3
73,2,4,1,2
74,4,3,0,0
75,4,3,4,0
76,4,3,4,1
77,1,1,0,0
78,0,1,3,0
79,4,1,4,4
80,4,3,1,0
81,4,2,2,4
82,3,2,4,3
83,1,1,3,0
84,0,4,1,1
85,3,1,0,1
86,4,4,0,0
87,4,3,1,2
88,0,3,3,1
89,0,4,3,2
90,3,3,3,0
91,2,0,2,1
92,1,4,0,4
93,4,4,2,0
94,1,2,1,2
95,1,4,4,3
96,3,4,1,1
97,3,1,4,3
98,4,4,2,2
99,0,1,4,3
100,0,3,1,2
101,4,2,0,4
102,4,4,2,3
103,4,3,3,2
104,3,0,4,1
105,1,3,0,3
106,2,2,1,2
107,3,1,2,4
108,1,0,2,2
109,1,0,3,0
110,2,1,4,1
111,4,2,0,3
112,3,4,2,0
113,3,0,1,4
114,2,2,4,2
115,0,1,3,4
116,4,3,0,3
117,4,2,4,1
118,4,3,3,2
119,4,0,3,0
120,4,2,0,2
121,1,4,0,1
122,1,1,3,3
123,1,0,0,1
124,2,4,0,3
125,1,2,3,0
126,2,0,1,1
127,2,4,0,0
128,3,4,0,0
129,4,2,2,3
130,0,1,2,0
131,3,1,3,0
132,3,1,4,0
133,0,4,3,0
134,0,2,1,0
135,1,3,1,0
136,0,3,1,3
137,0,0,0,3
138,1,3,0,4
139,4,2,4,2
140,0,3,4,1
141,0,2,1,2
142,0,3,4,2
143,0,4,1,2
144,0,1,4,1
145,3,4,0,0
146,0,3,0,2
147,2,1,4,1
148,0,0,0,0
149,2,1,4,4
150,1,0,4,0
151,3,2,0,3
152,2,2,3,2
153,4,2,0,1
154,3,2,3,4
155,4,0,3,3
156,1,2,1,4
157,3,4,1,3
158,3,3,4,3
159,3,0,0,4
160,1,4,2,4
161,1,4,3,3
162,2,1,4,3
163,4,1,2,1
164,1,2,2,3
165,2,4,1,0
166,0,1,0,3
167,4,0,0,1
168,3,4,2,3
169,4,1,2,2
170,3,4,4,2
171,0,3,2,1
172,3,1,3,4
173,0,0,1,0
174,4,3,3,1
175,3,4,2,2
176,3,1,1,1
177,0,3,1,1
178,1,0,4,2
179,3,0,3,4
180,1,1,3,1
181,3,3,1,0
182,0,3,1,1
183,2,1,2,2
184,0,0,0,0
185,2,2,4,1
186,2,4,3,1
187,1,2,4,1
188,1,1,0,2
189,1,0,0,0
190,2,1,3,0
191,0,0,2,0
192,3,1,1,4
